A5,직선 도로
C58,표지가 없는 도로에서 우회전
A4,차도와 차도가 아닌 장소
B11,차도가 아닌 장소에서 차도로 진입
C68,차도에서 직진
C69,차도가 아닌 장소에서 차도로 진입
B12,차도에서 차도가 아닌 장소로 진입
C68,차도에서 직진
C70,차도에서 차도가 아닌 장소로 진입
B13,인도에서 차도가 아닌 장소로 진입
C71,인도에서 차도가 아닌 장소로 진행
A6,회전교차로
B24,회전차로 1차로형
C104,교차로 내 회전
C105,회전교차로 진입
B25,회전차로 2차로형
C105,회전교차로 진입
C106,회전(회전 2차로)
C107,진로변경(회전 1차로 → 회전 2차로)
C108,회전교차로 진입(1차로 → 회전 2차로)
C109,회전교차로 진입(2차로 → 회전 2차로)
C110,회전(회전 1차로)
C111,회전교차로 대진입
